,Código [-],Gentílico [-],Prefeito [2021],Área Territorial - km² [2020],População estimada - pessoas [2020],Densidade demográfica - hab/km² [2010],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (×1000) [2017],Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$ [2018],Renda per capita,Região Turística,Domésticos,Internacionais,Categoria,Código,Expectativa de Vida
SAO FRANCISCO DE ITABAPOANA,3304755.0,são-franciscano,FRANCIMARA AZERÊDO DA SILVA BARBOSA LEMOS,1118.037,42210.0,36.84,98.0,0.639,18.9,130703.50575,119247.52318,24249.19,,COSTA DOCE,137585.0,273.0,C,330475.0,72.0
SAO FIDELIS,3304805.0,fidelense,AMARILDO HENRIQUE ALCÂNTARA,1034.833,38710.0,36.39,97.1,0.691,14.22,103821.35901,101339.74235,17997.75,631.72,COSTA DOCE,15802.0,130.0,D,330480.0,72.0
SAO GONCALO,3304904.0,gonçalense,NELSON RUAS DOS SANTOS,248.16,1091737.0,4035.9,96.7,0.739,14.47,1064524.12788,1051761.38824,17167.6,724.92,CAMINHOS DA MATA,24747.0,1744.0,C,330490.0,74.0
SAO JOAO DA BARRA,3305000.0,são-joanense,CARLA MARIA MACHADO DOS SANTOS,452.396,36423.0,71.96,97.5,0.671,13.06,328328.90002,276058.7271,199339.81,618.89,COSTA DOCE,143304.0,312.0,C,330500.0,73.0
SAO JOAO DE MERITI,3305109.0,meritiense,JOAO FERREIRA NETO,35.216,472906.0,13024.56,96.6,0.719,15.19,585396.74917,627408.8125,19726.47,658.78,BAIXADA VERDE,43018.0,422.0,B,330510.0,74.0
SAO JOSE DE UBA,3305133.0,ubaense,GEAN MARCOS PEREIRA DA SILVA,249.688,7206.0,27.98,99.2,0.652,9.9,43973.36859,33290.60842,28715.35,,,,,,330513.0,72.0
SAO JOSE DO VALE DO RIO PRETO,3305158.0,rio-pretano,GILBERTO MARTINS ESTEVES,220.178,21916.0,91.87,98.4,0.66,9.84,66871.50357,60327.99037,24555.29,594.03,,,,,330515.0,73.0
SAO PEDRO DA ALDEIA,3305208.0,aldeense,CARLOS FABIO DA SILVA,332.488,106049.0,264.05,97.9,0.712,14.74,220068.485,211045.47791,22259.41,821.2,COSTA DO SOL,87691.0,1016.0,C,330520.0,73.0
SAO SEBASTIAO DO ALTO,3305307.0,altense,ALIF RODRIGUES DA SILVA,397.214,9387.0,22.35,94.6,0.646,20.2,49727.88665,46162.23507,21801.76,,,,,,330530.0,72.0
SAPUCAIA,3305406.0,sapucaiense,BRENO JOSÉ DE SOUZA JUNQUEIRA,540.673,18249.0,32.35,97.3,0.675,16.04,83254.72213,75003.28822,40457.4,655.53,CAMINHOS COLONIAIS,0.0,207.0,D,330540.0,73.0
SAQUAREMA,3305505.0,saquaremense,MANOELA RAMOS DE SOUZA GOMES ALVES,352.13,90583.0,209.96,96.3,0.709,7.99,302249.54337,247728.1383,35244.56,836.99,COSTA DO SOL,178115.0,3231.0,B,330550.0,73.0
SEROPEDICA,3305554.0,seropedicense,LUCAS DUTRA DOS SANTOS,265.189,83092.0,275.53,97.5,0.713,14.98,231967.38214,186899.86355,51442.5,672.49,,,,,330555.0,73.0
SILVA JARDIM,3305604.0,silva-jardinense,WANDERSON GIMENES ALEXANDRE,937.755,21774.0,22.77,98.8,0.654,11.07,140087.53276,119905.98864,21389.03,545.93,CAMINHOS DA MATA,0.0,245.0,D,330560.0,72.0
SUMIDOURO,3305703.0,sumidourense,ELIESIO PERES DA SILVA,413.407,15667.0,37.67,93.5,0.611,12.15,67426.72601,55359.93986,28758.27,543.28,CAMINHOS DA SERRA,0.0,0.0,E,330570.0,72.0
TANGUA,3305752.0,tanguaense,RODRIGO DA COSTA MEDEIROS,143.007,34610.0,211.21,98.1,0.654,17.86,93356.38756,89046.69428,16249.55,,CAMINHOS DA MATA,20761.0,0.0,D,330575.0,72.0
TERESOPOLIS,3305802.0,teresopolitano,VINICIUS CARDOSO CLAUSSEN DA SILVA,773.338,184240.0,212.49,96.2,0.73,12.92,461159.07045,443127.6738,28503.62,1015.43,SERRA VERDE IMPERIAL,226279.0,5499.0,B,330580.0,76.0
TRAJANO DE MORAES,3305901.0,trajanense,RODRIGO FREIRE VIANA,591.151,10640.0,17.44,98.4,0.667,9.35,55090.26805,49211.94293,18452.36,602.42,CAMINHOS DA SERRA,12051.0,0.0,D,330590.0,73.0
TRES RIOS,3306008.0,trirriense,JOACIR BARBAGLIO PEREIRA,322.843,82142.0,237.42,97.9,0.725,16.18,264323.76642,250872.14429,48575.26,828.68,CAMINHOS COLONIAIS,13129.0,477.0,C,330600.0,73.0
VALENCA,3306107.0,valenciano,LUIZ FERNANDO FURTADO DA GRAÇA,1300.767,76869.0,55.06,97.7,0.738,14.35,186322.90479,167226.20187,33675.61,805.66,VALE DO CAFÉ,13063.0,1252.0,B,330610.0,75.0
VARRE-SAI,3306156.0,varresaiense,SILVESTRE JOSE GORINI,201.938,11106.0,49.85,96.8,0.659,-,53100.92583,42821.87075,17174.75,,ÁGUAS DO NOROESTE,0.0,0.0,E,330615.0,73.0
VASSOURAS,3306206.0,vassourense,SEVERINO ANANIAS DIAS FILHO,536.073,37083.0,63.94,98.8,0.714,18.29,137029.58211,122405.91477,26624.86,798.55,VALE DO CAFÉ,35714.0,611.0,C,330620.0,73.0
VOLTA REDONDA,3306305.0,volta-redondense,ANTONIO FRANCISCO NETO,182.105,273988.0,1412.75,98.5,0.771,12.27,869283.56643,825227.06828,50606.58,1043.69,VALE DO CAFÉ,36349.0,4533.0,B,330630.0,74.0
