,City,Lat,Lng,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Total
60,Queimados,-22.7156978,-43.555754,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,4,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,18
61,Quissamã,-22.107205,-41.4723411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,6,1,1,1,0,2,4,2,1,2,3,5,3,3,0,6,6,4,0,3,2,0,0,0,1,0,0,1,3,4,8,2,10,5,92
62,Resende,-22.4683626,-44.4463494,306,423,649,575,534,459,469,535,688,625,554,413,252,283,275,295,252,154,144,92,71,63,70,34,23,17,6,7,5,8,4,2,4,5,1,2,9,7,8,5,7,12,9,14,20,17,19,27,55,12,3,0,8523
63,Rio Bonito,-22.7108378,-42.6271864,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
64,Rio Claro,-22.7229997,-44.1359986,0,0,0,0,0,0,0,0,0,3,3,8,8,5,7,3,9,11,12,13,9,6,3,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,112
65,Rio das Flores,-22.1683478,-43.5858689,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
66,Rio das Ostras,-22.5269448,-41.944972,0,0,1,1,0,0,3,1,1,3,3,4,13,19,17,25,31,36,53,42,59,64,41,59,56,38,47,44,35,24,38,34,30,24,14,7,7,11,8,9,12,15,11,15,14,25,27,19,15,24,2,1,1082
67,Rio de Janeiro,-22.9110137,-43.2093727,42,28,40,31,58,39,58,89,117,167,223,250,387,609,766,913,1169,1152,1323,1350,1061,945,811,818,502,395,369,276,271,221,215,234,145,139,102,103,80,94,88,95,76,76,93,112,118,169,161,253,333,309,112,29,17616
68,Santa Maria Madalena,-21.9557957,-42.008283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3
69,Santo Antônio de Pádua,-21.5389992,-42.1799978,2,0,3,1,1,0,2,3,6,16,14,11,14,13,16,18,19,44,73,47,26,25,31,31,10,13,12,13,10,7,5,7,2,1,1,3,3,2,2,3,3,2,3,16,25,20,12,15,15,4,0,0,625
70,São Francisco de Itabapoana,-21.47437,-41.1202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,3,7,17,4,6,10,4,2,8,6,4,11,5,12,11,8,3,7,4,1,3,9,5,19,40,29,4,1,0,1,0,0,251
71,São Fidélis,-21.6431,-41.7578,0,0,0,0,0,1,0,1,1,1,7,2,1,1,5,1,1,1,12,13,6,8,7,4,7,5,6,5,3,6,3,2,2,3,1,6,3,2,3,2,5,5,3,4,3,6,8,10,18,42,4,0,240
72,São Gonçalo,-22.8219014,-43.0309252,18,7,7,6,10,8,18,29,23,29,29,20,34,36,36,47,65,46,46,39,18,13,9,15,9,8,6,10,6,6,13,7,12,14,7,4,9,10,10,23,18,45,24,47,63,76,124,157,144,39,4,0,1503
73,São João da Barra,-21.6348588,-41.0487079,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,3,0,1,1,0,1,1,2,1,4,9,1,1,0,1,2,1,2,0,1,1,0,0,1,2,1,3,2,5,5,1,0,0,58
74,São João de Meriti,-22.8043744,-43.3724125,0,0,0,0,0,0,0,0,1,2,0,3,2,2,1,4,5,7,2,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,5,9,26,18,8,0,111
